primary_leyword,user,traffic_volume,keyword_difficulty,article_status
ATO Payment Plan,servicecraft,1900,4,draft
PAYG ,servicecraft,1200,0,scheduled
TPAR,servicecraft,1900,0,published
working from home deduction,servicecraft,150,3,published
Business Activity Statement,servicecraft,1900,11,scheduled
Franked Dividends,servicecraft,1100,5,draft
GST Credits,servicecraft,350,0,scheduled
new tax on super over 3 million,servicecraft,900,4,published
Bucket Company,servicecraft,400,1,published
Superannuation Standard Choice Form,servicecraft,3700,0,scheduled
Director id (Old - Director Idenification Number),servicecraft,33000,2,draft
